Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
the-marriage-deepening-toolkit,The Marriage Deepening Toolkit,"<p><strong>How to build a loving, fulfilling marriage without losing yourselves along the way</strong></p><p>The Marriage Deepening Toolkit is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-the-marriage-deepeni,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/the-marriage-deepening-toolkit.jpg,The Marriage Deepening Toolkit,active
signs-he-is-cheating,Signs He Is Cheating,"<p><strong>How to Find Clarity and Address Red Flags Without Destroying Your Relationship</strong></p><p>Signs He Is Cheating is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-signs-he-is-cheating,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/signs-he-is-cheating.jpg,Signs He Is Cheating,active
how-to-heal-from-a-friendship-breakup,How To Heal From A Friendship Breakup,"<p><strong>How to heal and feel like yourself again, one day at a time</strong></p><p>How To Heal From A Friendship Breakup is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-heal-from-a-f,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-heal-from-a-friendship-breakup.jpg,How To Heal From A Friendship Breakup,active
how-to-turn-a-situationship-into-commitment,How To Turn A Situationship Into Commitment,"<p><strong>How to turn a casual connection into a committed relationship without heartbreak</strong></p><p>How To Turn A Situationship Into Commitment is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-turn-a-situat,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-turn-a-situationship-into-commitment.jpg,How To Turn A Situationship Into Commitment,active
how-to-communicate-neurodivergent-without-misund,How To Communicate [Neurodivergent] Without Misunderstandings,"<p><strong>How to communicate effectively without misunderstandings, one conversation at a time</strong></p><p>How To Communicate [Neurodivergent] Without Misunderstandings is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-communicate-n,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-communicate-neurodivergent-without-misund.jpg,How To Communicate [Neurodivergent] Without Misunderstandings,active
how-to-date-with-intention-after-40,How To Date With Intention After 40,"<p><strong>How to Date With Intention Without Feeling Lost</strong></p><p>How To Date With Intention After 40 is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-date-with-int,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-date-with-intention-after-40.jpg,How To Date With Intention After 40,active
how-to-set-healthy-phone-boundaries-in-your-rela,How To Set Healthy Phone Boundaries in Your Relationship,"<p><strong>How to set healthy phone boundaries without sacrificing intimacy</strong></p><p>How To Set Healthy Phone Boundaries in Your Relationship is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-set-healthy-p,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-set-healthy-phone-boundaries-in-your-rela.jpg,How To Set Healthy Phone Boundaries in Your Relationship,active
how-to-break-the-cycle-of-anxious-avoidant-relat,How To Break The Cycle Of Anxious-Avoidant Relationships,"<p><strong>How to build secure connections without endless pain</strong></p><p>How To Break The Cycle Of Anxious-Avoidant Relationships is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-break-the-cyc,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-break-the-cycle-of-anxious-avoidant-relat.jpg,How To Break The Cycle Of Anxious-Avoidant Relationships,active
how-to-date-with-self-worth,How To Date With Self-Worth,"<p><strong>How to date with confidence, without past baggage holding you back</strong></p><p>How To Date With Self-Worth is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-date-with-sel,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-date-with-self-worth.jpg,How To Date With Self-Worth,active
how-to-co-parent-without-conflict,How To Co-Parent Without Conflict,"<p><strong>How to co-parent without conflict and keep your focus on the kids</strong></p><p>How To Co-Parent Without Conflict is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-co-parent-wit,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-co-parent-without-conflict.jpg,How To Co-Parent Without Conflict,active
how-to-keep-romance-alive-over-distance,How To Keep Romance Alive Over Distance,"<p><strong>How to Keep Romance Alive Over Distance Without Feeling Stuck</strong></p><p>How To Keep Romance Alive Over Distance is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-keep-romance-,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-keep-romance-alive-over-distance.jpg,How To Keep Romance Alive Over Distance,active
how-to-stop-fighting-without-losing-love,How To Stop Fighting Without Losing Love,"<p><strong>How to resolve conflicts without losing love, one conversation at a time</strong></p><p>How To Stop Fighting Without Losing Love is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-stop-fighting,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-stop-fighting-without-losing-love.jpg,How To Stop Fighting Without Losing Love,active
how-to-find-your-place-as-a-step-parent,How To Find Your Place As A Step-Parent,"<p><strong>How to build strong bonds without feeling like an outsider, one day at a time</strong></p><p>How To Find Your Place As A Step-Parent is a focused, easy-to-read guide written by someone who has been there. Inside you get real, specific steps - not vague advice - that you can use today, plus simple worksheets and scripts to make it stick.</p><ul><li>Practical, step-by-step and beginner-friendly</li><li>Written in a warm, real voice</li><li>Instant PDF download after purchase</li><li>Money-back if it is not for you</li></ul><p><em>Digital download. For general guidance only; consult a qualified professional where relevant.</em></p>",NicheQuill,Digital Guide,relationships,TRUE,Title,Default Title,NQ-how-to-find-your-pla,,0,continue,manual,14.00,29.00,FALSE,FALSE,https://raw.githubusercontent.com/bigmodizel93/nichequill-covers/main/how-to-find-your-place-as-a-step-parent.jpg,How To Find Your Place As A Step-Parent,active
